2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | APScheduler started
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Restoring scheduled jobs from database...
2026-04-13 00:27:26 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_NVIDIA' at 00:21 tz=Asia/Singapore, next_run=2026-04-14 00:21:00+08:00
2026-04-13 00:27:26 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_迪士尼' at 00:22 tz=Asia/Singapore, next_run=2026-04-14 00:22:00+08:00
2026-04-13 00:27:26 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_小米' at 23:30 tz=Asia/Singapore, next_run=2026-04-13 23:30:00+08:00
2026-04-13 00:27:26 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_苹果' at 23:37 tz=Asia/Singapore, next_run=2026-04-13 23:37:00+08:00
2026-04-13 00:27:26 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_ai' at 23:39 tz=Asia/Singapore, next_run=2026-04-13 23:39:00+08:00
2026-04-13 00:27:26 | INFO     | newsdigest.app.schedulers.digest_scheduler | Restored 5 scheduled jobs
2026-04-13 00:27:26 | INFO     | newsdigest.main | Polling started with offset=1156
2026-04-13 00:27:43 | INFO     | newsdigest.main | Poll returned 1 msgs in 3185ms, offset→1157
2026-04-13 00:27:43 | INFO     | newsdigest.app.controllers.command_handler | Command received: /digest args=['登月'] user=7 chat=private:7
2026-04-13 00:27:43 | INFO     | newsdigest.app.controllers.command_handler | Immediate digest requested for '登月'
2026-04-13 00:27:43 | INFO     | newsdigest.app.services.digest_service | Generating digest for keyword='登月'
2026-04-13 00:27:43 | INFO     | newsdigest.app.services.search.google_news | GoogleNews: '登月' → 13 items. Top3: 探月竞争白热化：NASA的成功令中国“2030登月”目标备受 | 原来没丢啊！美国阿波罗11号首次登月代码公开：内存竟只有3. | 阿提米丝二号绕月任务取得巨大成功，真正的挑战尚在前面
2026-04-13 00:27:43 | INFO     | newsdigest.app.services.digest_service | After dedup: 8 items for '登月'
2026-04-13 00:27:43 | INFO     | newsdigest.app.services.summarizer | Keyword filter '登月': 8 → 5 items
2026-04-13 00:27:43 | INFO     | newsdigest.app.services.summarizer | Calling Ollama 'qwen2.5:7b' for '登月' (5 items)
2026-04-13 00:28:09 | INFO     | newsdigest.main | Poll returned 1 msgs in 2047ms, offset→1158
2026-04-13 00:28:17 | INFO     | newsdigest.main | Poll returned 1 msgs in 1708ms, offset→1159
2026-04-13 00:28:17 | INFO     | newsdigest.app.controllers.command_handler | Command received: /digest args=['即梦'] user=7 chat=private:7
2026-04-13 00:28:17 | INFO     | newsdigest.app.controllers.command_handler | Immediate digest requested for '即梦'
2026-04-13 00:28:17 | INFO     | newsdigest.app.services.digest_service | Generating digest for keyword='即梦'
2026-04-13 00:28:18 | INFO     | newsdigest.app.services.search.google_news | GoogleNews: '即梦' → 13 items. Top3: 即梦刚涨价，Happy Horse超越Seedance 2. | 即梦上线首个Vibe Create工具“小章鱼” 支持多模态 | 即梦上线首个Vibe Create工具“小章鱼”，支持多模态
2026-04-13 00:28:18 | INFO     | newsdigest.app.services.digest_service | After dedup: 8 items for '即梦'
2026-04-13 00:28:18 | INFO     | newsdigest.app.services.summarizer | Keyword filter '即梦': 8 → 8 items
2026-04-13 00:28:18 | INFO     | newsdigest.app.services.summarizer | Calling Ollama 'qwen2.5:7b' for '即梦' (6 items)
